Model,Window Size,LR,Alpha,Gamma,Threshold,ExactMatch,Macro F1,Micro F1,Status,GPU
MLP-W1500-LR5e-05-A0.75-G2.0-TH0.2,1500,5e-05,0.75,2.0,0.2,81.68999999999997,15.537931281048495,15.279583875162551,Success,1
MLP-W1500-LR5e-05-A0.75-G2.0-TH0.25,1500,5e-05,0.75,2.0,0.25,87.04999999999976,19.61691735813801,21.207798383262002,Success,0
MLP-W1500-LR5e-05-A0.75-G2.0-TH0.3,1500,5e-05,0.75,2.0,0.3,90.40000000000022,22.535188398515515,27.05128205128205,Success,1
MLP-W1500-LR5e-05-A0.75-G3.0-TH0.2,1500,5e-05,0.75,3.0,0.2,72.35000000000002,11.689323623474682,10.079472766039931,Success,0
MLP-W1500-LR5e-05-A0.75-G3.0-TH0.25,1500,5e-05,0.75,3.0,0.25,79.80000000000008,15.692768817291352,14.587674903245013,Success,1
MLP-W1500-LR5e-05-A0.75-G3.0-TH0.3,1500,5e-05,0.75,3.0,0.3,85.57000000000009,19.143310628788313,20.008624407072013,Success,0
MLP-W1500-LR0.0001-A0.25-G1.0-TH0.2,1500,0.0001,0.25,1.0,0.2,95.63999999999983,28.70601885419261,41.36191677175284,Success,1
MLP-W1500-LR0.0001-A0.25-G1.0-TH0.25,1500,0.0001,0.25,1.0,0.25,96.14,27.102557972746833,41.74894217207334,Success,0
MLP-W1500-LR0.0001-A0.25-G1.0-TH0.3,1500,0.0001,0.25,1.0,0.3,96.36000000000013,27.292335877215894,41.53846153846153,Success,1
MLP-W1500-LR0.0001-A0.25-G2.0-TH0.2,1500,0.0001,0.25,2.0,0.2,93.89000000000048,26.356825524299666,35.13266239707228,Success,0
MLP-W1500-LR0.0001-A0.25-G2.0-TH0.25,1500,0.0001,0.25,2.0,0.25,95.13000000000017,28.40458194538005,39.729119638826184,Success,1
MLP-W1500-LR0.0001-A0.25-G2.0-TH0.3,1500,0.0001,0.25,2.0,0.3,95.88000000000015,27.873064945513388,41.743725231175695,Success,0
MLP-W1500-LR0.0001-A0.25-G3.0-TH0.2,1500,0.0001,0.25,3.0,0.2,90.3599999999998,20.73287639804692,24.171993027309703,Success,1
MLP-W1500-LR0.0001-A0.25-G3.0-TH0.25,1500,0.0001,0.25,3.0,0.25,93.0800000000003,24.694084909935427,31.719532554257096,Success,0
MLP-W1500-LR0.0001-A0.25-G3.0-TH0.3,1500,0.0001,0.25,3.0,0.3,94.70999999999991,26.894151289246892,37.69968051118211,Success,1
MLP-W1500-LR0.0001-A0.5-G1.0-TH0.2,1500,0.0001,0.5,1.0,0.2,94.16999999999994,26.648403744774207,36.27639155470249,Success,0
MLP-W1500-LR0.0001-A0.5-G1.0-TH0.25,1500,0.0001,0.5,1.0,0.25,95.01999999999988,27.66063345618395,39.33333333333333,Success,1
MLP-W1500-LR0.0001-A0.5-G1.0-TH0.3,1500,0.0001,0.5,1.0,0.3,95.71999999999989,28.15421803239062,42.96482412060302,Success,0
MLP-W1500-LR0.0001-A0.5-G2.0-TH0.2,1500,0.0001,0.5,2.0,0.2,90.14999999999996,20.609631639367045,24.384525205158265,Success,1
MLP-W1500-LR0.0001-A0.5-G2.0-TH0.25,1500,0.0001,0.5,2.0,0.25,92.5200000000001,23.671198770470816,30.407523510971785,Success,0
MLP-W1500-LR0.0001-A0.5-G2.0-TH0.3,1500,0.0001,0.5,2.0,0.3,94.1500000000001,26.32403552694502,35.92233009708738,Success,1
MLP-W1500-LR0.0001-A0.5-G3.0-TH0.2,1500,0.0001,0.5,3.0,0.2,84.53000000000023,15.76627793172271,16.756951968219575,Success,0
MLP-W1500-LR0.0001-A0.5-G3.0-TH0.25,1500,0.0001,0.5,3.0,0.25,88.3399999999998,19.344351370446994,21.874999999999996,Success,1
MLP-W1500-LR0.0001-A0.5-G3.0-TH0.3,1500,0.0001,0.5,3.0,0.3,91.57999999999981,23.02286174533384,28.571428571428577,Success,0
MLP-W1500-LR0.0001-A0.75-G1.0-TH0.2,1500,0.0001,0.75,1.0,0.2,91.1200000000002,21.662902685865742,26.85003274394237,Success,1
MLP-W1500-LR0.0001-A0.75-G1.0-TH0.25,1500,0.0001,0.75,1.0,0.25,92.47999999999973,24.045463259000012,31.63664839467502,Success,0
MLP-W1500-LR0.0001-A0.75-G1.0-TH0.3,1500,0.0001,0.75,1.0,0.3,93.8300000000002,25.217497694391177,35.700934579439256,Success,1
MLP-W1500-LR0.0001-A0.75-G2.0-TH0.2,1500,0.0001,0.75,2.0,0.2,84.05999999999993,14.283156672966586,15.703069236259815,Success,0
MLP-W1500-LR0.0001-A0.75-G2.0-TH0.25,1500,0.0001,0.75,2.0,0.25,87.54000000000008,16.893003747070377,19.801042160113692,Success,1
MLP-W1500-LR0.0001-A0.75-G2.0-TH0.3,1500,0.0001,0.75,2.0,0.3,89.9899999999997,19.60939381239421,24.00489895897122,Success,0
MLP-W1500-LR0.0001-A0.75-G3.0-TH0.2,1500,0.0001,0.75,3.0,0.2,77.78000000000009,11.909887342390494,11.264314092077585,Success,1
MLP-W1500-LR0.0001-A0.75-G3.0-TH0.25,1500,0.0001,0.75,3.0,0.25,83.03999999999988,14.629321653551969,14.805278403604765,Success,0
MLP-W1500-LR0.0001-A0.75-G3.0-TH0.3,1500,0.0001,0.75,3.0,0.3,87.09999999999997,17.973745373579593,20.037807183364837,Success,1
