hidden_dim,embedding_dim,num_layers,lr,dropout,gamma,alpha,threshold,use_scaler,window_size,epochs,name,Exact Match,Macro F1,Micro F1,Time,Status
128,64,2,0.0005,0.2,3.0,0.5,0.5,False,100,5,Emb64-H128-G3.0-A0.5-NoScl,12.214312476582986,20.023262837917116,53.453423566878975,133.42224407196045,Success
128,128,2,0.0005,0.2,3.0,0.5,0.4,False,100,5,Emb128-H128-G3.0-A0.5-NoScl,9.104533533158495,26.44055526419021,56.14474479661455,107.62874031066895,Success
128,128,2,0.0005,0.2,1.0,0.5,0.4,False,100,5,Emb128-H128-G1.0-A0.5-NoScl,11.502435369052073,17.457076622281768,55.66458519179304,138.56142616271973,Success
256,128,2,0.0005,0.2,2.0,0.5,0.6,False,100,5,Emb128-H256-G2.0-A0.5-NoScl,15.661296365680027,21.49215130797146,54.4802099512613,195.22863245010376,Success
128,128,2,0.001,0.4,3.0,0.25,0.6,False,100,5,Emb128-H128-G3.0-A0.25-NoScl,16.6354439865118,7.937197859040536,41.5393393774171,138.81952047348022,Success
128,128,2,0.001,0.4,1.0,0.75,0.6,False,100,5,Emb128-H128-G1.0-A0.75-NoScl,10.15361558636194,18.141101864676155,53.347875569044014,107.04033374786377,Success
128,128,2,0.001,0.2,1.0,0.75,0.5,False,100,5,Emb128-H128-G1.0-A0.75-NoScl,9.816410640689405,24.135900089596927,56.721947776993645,138.8780255317688,Success
256,64,2,0.001,0.4,1.0,0.25,0.4,False,100,5,Emb64-H256-G1.0-A0.25-NoScl,14.462345447733222,15.971686013495253,52.264698128130775,191.06771540641785,Success
128,64,2,0.0005,0.2,3.0,0.25,0.4,False,100,5,Emb64-H128-G3.0-A0.25-NoScl,12.064443611839629,17.505246114612877,53.34183923839434,104.55518341064453,Success
256,64,2,0.0005,0.4,2.0,0.5,0.4,False,100,5,Emb64-H256-G2.0-A0.5-NoScl,11.20269763956536,22.71163716398095,55.83811373594111,360.4221234321594,Success
256,64,2,0.0005,0.4,1.0,0.25,0.6,False,100,5,Emb64-H256-G1.0-A0.25-NoScl,15.6238291494942,10.033462574520554,45.769961977186306,190.43139457702637,Success
128,128,2,0.001,0.2,1.0,0.5,0.4,False,100,5,Emb128-H128-G1.0-A0.5-NoScl,11.614837017609583,21.494486212985535,56.53826303195234,107.15439438819885,Success
128,128,2,0.001,0.2,2.0,0.5,0.5,False,100,5,Emb128-H128-G2.0-A0.5-NoScl,12.626451854627211,23.5071949960413,55.66938531927591,107.36919975280762,Success
