name,hidden_dim,num_layers,lr,dropout,bidirectional,window_size,ExactMatch,Macro F1,Micro F1,Duration,Device,Status,Focal_Alpha,Focal_Gamma,Loss_Type
LSTM-Small-LR1e4-W200,64,1,0.0001,0.3,True,200,97.18000000000005,45.31607116696708,60.72874493927125,294.3415458202362,cuda:1,Success,0.75,5.0,Focal
LSTM-Small-LR1e4-W200,64,1,0.0001,0.3,True,200,97.05999999999996,44.57486069134747,59.94694960212201,304.57485151290894,cuda:1,Success,0.75,2.0,Focal
LSTM-Small-LR1e4-W200,64,1,0.0001,0.3,True,200,97.07999999999974,45.033934187343604,60.21220159151193,323.27954149246216,cuda:1,Success,0.75,3.0,Focal
LSTM-Small-LR1e4-W200,64,1,0.0001,0.3,True,200,97.06000000000013,44.32158144011347,59.73333333333333,323.90580534935,cuda:1,Success,0.75,1.0,Focal
LSTM-Small-LR1e4-W200,64,1,0.0001,0.3,True,200,97.42000000000064,44.660485794838436,60.856720827178734,321.8220841884613,cuda:1,Success,0.5,5.0,Focal
LSTM-Small-LR1e4-W200,64,1,0.0001,0.3,True,200,97.41,43.70867286343127,60.41666666666667,323.60028314590454,cuda:1,Success,0.5,2.0,Focal
LSTM-Small-LR1e4-W200,64,1,0.0001,0.3,True,200,97.40000000000003,43.86372981839419,60.32689450222883,321.09375262260437,cuda:1,Success,0.5,3.0,Focal
LSTM-Small-LR1e4-W500,64,1,0.0001,0.3,True,500,97.16000000000018,46.11082900106025,60.71904127829559,333.5903468132019,cuda:1,Success,0.75,5.0,Focal
LSTM-Small-LR1e4-W500,64,1,0.0001,0.3,True,500,97.2599999999997,46.08561067426678,61.55913978494624,334.26083493232727,cuda:1,Success,0.75,2.0,Focal
LSTM-Small-LR1e4-W500,64,1,0.0001,0.3,True,500,97.19000000000008,46.04969341026058,60.96256684491978,313.19407963752747,cuda:1,Success,0.75,3.0,Focal
LSTM-Small-LR1e4-W500,64,1,0.0001,0.3,True,500,97.24000000000026,46.33291463833674,61.76470588235294,313.6307544708252,cuda:1,Success,0.75,1.0,Focal
LSTM-Small-LR1e4-W500,64,1,0.0001,0.3,True,500,97.61000000000017,46.526950705082754,63.63636363636363,289.34627985954285,cuda:1,Success,0.5,5.0,Focal
LSTM-Small-LR1e4-W500,64,1,0.0001,0.3,True,500,97.5200000000002,45.422477718524824,62.4633431085044,293.4104902744293,cuda:1,Success,0.5,2.0,Focal
